"personid_4";"polint";"part";"titel_1";"vote_1";"party";"trust_1";"importance1";"value3";"value11";"difficul1";"vote2";"part2";"educ";"acti";"income";"sex";"birthyear";"birthmonth";"maritalstatus";"reportingcanton";"communelanguage";"lrsp"
86554;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"03 FDP - FDP.The Liberals";"09";"06";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"10 10 votings";"33 maturity or teacher training school";"03 employee";"10 10'001-11'000 CHF";"1 man";1997;2;"1 single, never married";"AG";"de";"06"
27124;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"04 CVP - Christian Democratic Party";"10 complete trust";"09";"4 rather agree with 2nd statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"08 8'001-9'000 CHF";"1 man";1967;11;"2 married";"VS";"fr";"05 center"
93625;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"05";"05";"4 rather agree with 2nd statement";"5 agree with 2nd statement";"1 rather easy";"1 by mail";"07";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"04 4'001-5'000 CHF";"2 woman";1948;3;"2 married";"VS";"de";"05 center"
17071;"2 rather interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"98 don't know";"08";"07";"2 agree with 1st statement";"4 rather agree with 2nd statement";"2 rather difficult";"1 by mail";"10 10 votings";"21 compulsory school";"06 inactive person in training";"09 9'001-10'000 CHF";"2 woman";1998;3;"1 single, never married";"GE";"fr";"05 center"
92524;"2 rather interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"03";"";"8 don't know";"4 rather agree with 2nd statement";"";"";"04";"40 post-secondary education, non tertiary";"05 unemployed";"03 3'001-4'000 CHF";"2 woman";1963;9;"4 divorced";"TG";"de";"04"
27713;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"04 CVP - Christian Democratic Party";"08";"08";"2 agree with 1st statement";"6 completely agree with 2nd statement";"2 rather difficult";"2 at the ballot box during the voting weekend";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"07 inactive person in retirement";"02 2'001-3'000 CHF";"2 woman";1948;11;"3 widowed";"TI";"it";"05 center"
68577;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"03 FDP - FDP.The Liberals";"07";"";"1 completely agree with 1st statement";"4 rather agree with 2nd statement";"";"";"07";"51 vocational high school with federal or master certificate";"03 employee";"15 more than 15'000 CHF";"1 man";1978;4;"2 married";"TI";"it";"06"
71532;"2 rather interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"99 no answer";"08";"09";"1 completely agree with 1st statement";"2 agree with 1st statement";"1 rather easy";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"03 employee";"05 5'001-6'000 CHF";"2 woman";1962;9;"2 married";"ZG";"de";"04"
47017;"3 rather not interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"09";"";"3 rather agree with 1st statement";"3 rather agree with 1st statement";"";"";"03";"33 maturity or teacher training school";"03 employee";"07 7'001-8'000 CHF";"1 man";1965;8;"2 married";"ZH";"de";"05 center"
13773;"4 not at all interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"06";"";"5 agree with 2nd statement";"1 completely agree with 1st statement";"";"";"02";"32 elementary vocational training or apprenticeship";"03 employee";"09 9'001-10'000 CHF";"2 woman";1990;4;"1 single, never married";"FR";"fr";"09"
13112;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"03 FDP - FDP.The Liberals";"05";"08";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"01 self-employed";"12 12'001-13'000 CHF";"1 man";1971;9;"2 married";"LU";"de";"07"
60298;"1 very interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"04 CVP - Christian Democratic Party";"06";"04";"4 rather agree with 2nd statement";"5 agree with 2nd statement";"2 rather difficult";"1 by mail";"02";"32 elementary vocational training or apprenticeship";"09 homemaker";"98 don't know";"2 woman";1954;4;"2 married";"TI";"it";"00 extreme left"
82597;"2 rather interested";"2 did not participate";"0 Energy Act not mentioned";"";"02 SP - Social Democratic Party";"07";"";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"";"";"05";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"07 inactive person in retirement";"06 6'001-7'000 CHF";"2 woman";1947;8;"2 married";"GE";"fr";"03"
81392;"3 rather not interested";"2 did not participate";"0 Energy Act not mentioned";"";"02 SP - Social Democratic Party";"06";"";"8 don't know";"6 completely agree with 2nd statement";"";"";"07";"33 maturity or teacher training school";"03 employee";"06 6'001-7'000 CHF";"1 man";1961;10;"2 married";"NE";"fr";"05 center"
81741;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"03 FDP - FDP.The Liberals";"07";"08";"4 rather agree with 2nd statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"15 more than 15'000 CHF";"1 man";1977;1;"2 married";"LU";"de";"05 center"
89628;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"07";"09";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"06";"40 post-secondary education, non tertiary";"03 employee";"03 3'001-4'000 CHF";"2 woman";1973;1;"4 divorced";"SG";"de";"04"
66256;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"03 FDP - FDP.The Liberals";"08";"";"9 no answer";"6 completely agree with 2nd statement";"";"";"05";"32 elementary vocational training or apprenticeship";"09 homemaker";"09 9'001-10'000 CHF";"2 woman";1960;9;"2 married";"FR";"fr";"05 center"
37823;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"03 FDP - FDP.The Liberals";"09";"";"2 agree with 1st statement";"6 completely agree with 2nd statement";"";"";"07";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"15 more than 15'000 CHF";"1 man";1970;1;"2 married";"BS";"de";"05 center"
74062;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"96 does not affiliate with a party";"05";"";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"";"";"10 10 votings";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"04 4'001-5'000 CHF";"1 man";1948;1;"2 married";"VS";"fr";"05 center"
47605;"2 rather interested";"1 participated";"0 Energy Act not mentioned";"2 no (rejected)";"96 does not affiliate with a party";"08";"00 not important at all";"9 no answer";"4 rather agree with 2nd statement";"2 rather difficult";"1 by mail";"09";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"08 8'001-9'000 CHF";"1 man";1934;7;"2 married";"ZH";"de";"05 center"
82585;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"03 FDP - FDP.The Liberals";"05";"05";"4 rather agree with 2nd statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"14 14'001-15'000 CHF";"2 woman";1955;12;"2 married";"SG";"de";"05 center"
47336;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"07";"09";"3 rather agree with 1st statement";"5 agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"14 14'001-15'000 CHF";"1 man";1974;6;"2 married";"ZH";"de";"03"
17512;"2 rather interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"03 FDP - FDP.The Liberals";"08";"08";"4 rather agree with 2nd statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"09";"51 vocational high school with federal or master certificate";"07 inactive person in retirement";"03 3'001-4'000 CHF";"2 woman";1944;5;"2 married";"ZH";"de";"05 center"
12584;"3 rather not interested";"1 participated";"0 Energy Act not mentioned";"8 don't know";"02 SP - Social Democratic Party";"08";"08";"3 rather agree with 1st statement";"5 agree with 2nd statement";"2 rather difficult";"1 by mail";"06";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"07 inactive person in retirement";"98 don't know";"2 woman";1945;7;"1 single, never married";"TI";"it";"05 center"
89581;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"01 SVP - Swiss People's Party";"06";"";"3 rather agree with 1st statement";"4 rather agree with 2nd statement";"";"";"05";"32 elementary vocational training or apprenticeship";"03 employee";"08 8'001-9'000 CHF";"2 woman";1960;2;"2 married";"VD";"fr";"05 center"
84845;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"08";"08";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"01 self-employed";"09 9'001-10'000 CHF";"2 woman";1962;11;"2 married";"SZ";"de";"05 center"
20188;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"08";"10 very important";"2 agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"05";"21 compulsory school";"03 employee";"99 no answer";"2 woman";1968;10;"2 married";"NE";"fr";"05 center"
14203;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"01 SVP - Swiss People's Party";"09";"";"5 agree with 2nd statement";"6 completely agree with 2nd statement";"";"";"02";"32 elementary vocational training or apprenticeship";"03 employee";"05 5'001-6'000 CHF";"2 woman";1982;10;"1 single, never married";"GL";"de";"04"
52086;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"04 CVP - Christian Democratic Party";"08";"08";"5 agree with 2nd statement";"5 agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"07 7'001-8'000 CHF";"1 man";1930;12;"2 married";"LU";"de";"05 center"
61314;"1 very interested";"2 did not participate";"1 Energy Act mentioned";"";"07 BDP - Conservative Democratic Party";"05";"";"5 agree with 2nd statement";"1 completely agree with 1st statement";"";"";"08";"32 elementary vocational training or apprenticeship";"03 employee";"15 more than 15'000 CHF";"1 man";1996;3;"1 single, never married";"SO";"de";"08"
74806;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"08";"07";"2 agree with 1st statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"05 5'001-6'000 CHF";"1 man";1940;8;"2 married";"TI";"it";"05 center"
97413;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"07";"08";"3 rather agree with 1st statement";"4 rather agree with 2nd statement";"1 rather easy";"1 by mail";"06";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"05 5'001-6'000 CHF";"2 woman";1952;10;"2 married";"TG";"de";"05 center"
53036;"1 very interested";"1 participated";"0 Energy Act not mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"06";"09";"8 don't know";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"99 no answer";"2 woman";1937;5;"3 widowed";"AG";"de";"03"
97861;"1 very interested";"1 participated";"1 Energy Act mentioned";"9 no answer";"03 FDP - FDP.The Liberals";"08";"08";"5 agree with 2nd statement";"2 agree with 1st statement";"2 rather difficult";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"01 self-employed";"06 6'001-7'000 CHF";"1 man";1957;1;"2 married";"VD";"fr";"09"
37643;"3 rather not interested";"2 did not participate";"0 Energy Act not mentioned";"";"05 GPS - Green Party of Switzerland";"06";"";"2 agree with 1st statement";"3 rather agree with 1st statement";"";"";"08";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"06 inactive person in training";"03 3'001-4'000 CHF";"2 woman";1990;12;"1 single, never married";"TI";"it";"99 no answer"
29401;"3 rather not interested";"2 did not participate";"0 Energy Act not mentioned";"";"02 SP - Social Democratic Party";"07";"";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"";"";"08";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"06 6'001-7'000 CHF";"1 man";1954;5;"2 married";"VD";"fr";"04"
73473;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"04 CVP - Christian Democratic Party";"09";"06";"4 rather agree with 2nd statement";"3 rather agree with 1st statement";"2 rather difficult";"2 at the ballot box during the voting weekend";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"10 10'001-11'000 CHF";"1 man";1976;9;"2 married";"SH";"de";"06"
68074;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"08";"10 very important";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"03 employee";"08 8'001-9'000 CHF";"2 woman";1962;7;"2 married";"GR";"de";"00 extreme left"
78935;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"08";"10 very important";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"09";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"07 inactive person in retirement";"04 4'001-5'000 CHF";"2 woman";1952;10;"2 married";"VD";"fr";"04"
67994;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"08";"10 very important";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"33 maturity or teacher training school";"03 employee";"05 5'001-6'000 CHF";"2 woman";1955;1;"2 married";"TI";"it";"04"
90827;"1 very interested";"1 participated";"0 Energy Act not mentioned";"9 no answer";"99 no answer";"07";"08";"9 no answer";"9 no answer";"1 rather easy";"1 by mail";"10 10 votings";"33 maturity or teacher training school";"05 unemployed";"99 no answer";"1 man";1995;5;"1 single, never married";"AG";"de";"99 no answer"
66512;"1 very interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"04";"";"1 completely agree with 1st statement";"3 rather agree with 1st statement";"";"";"07";"21 compulsory school";"06 inactive person in training";"98 don't know";"1 man";1998;8;"1 single, never married";"TI";"it";"98 don't know"
47692;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"05 GPS - Green Party of Switzerland";"08";"";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"";"";"10 10 votings";"33 maturity or teacher training school";"07 inactive person in retirement";"14 14'001-15'000 CHF";"2 woman";1934;10;"2 married";"GE";"fr";"01"
75063;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"05 GPS - Green Party of Switzerland";"01";"";"4 rather agree with 2nd statement";"1 completely agree with 1st statement";"";"";"08";"32 elementary vocational training or apprenticeship";"03 employee";"07 7'001-8'000 CHF";"2 woman";1978;12;"2 married";"ZH";"de";"04"
72392;"3 rather not interested";"2 did not participate";"0 Energy Act not mentioned";"";"98 don't know";"06";"";"2 agree with 1st statement";"3 rather agree with 1st statement";"";"";"03";"32 elementary vocational training or apprenticeship";"03 employee";"07 7'001-8'000 CHF";"2 woman";1995;9;"1 single, never married";"FR";"fr";"05 center"
76347;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"03 FDP - FDP.The Liberals";"06";"";"9 no answer";"4 rather agree with 2nd statement";"";"";"05";"33 maturity or teacher training school";"03 employee";"15 more than 15'000 CHF";"1 man";1953;9;"2 married";"GR";"de";"05 center"
73052;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"03 FDP - FDP.The Liberals";"09";"10 very important";"4 rather agree with 2nd statement";"2 agree with 1st statement";"1 rather easy";"2 at the ballot box during the voting weekend";"10 10 votings";"51 vocational high school with federal or master certificate";"03 employee";"09 9'001-10'000 CHF";"1 man";1970;1;"2 married";"JU";"fr";"08"
79409;"2 rather interested";"1 participated";"0 Energy Act not mentioned";"2 no (rejected)";"03 FDP - FDP.The Liberals";"05";"03";"5 agree with 2nd statement";"3 rather agree with 1st statement";"1 rather easy";"1 by mail";"10 10 votings";"60 doctorate, habilitation";"01 self-employed";"99 no answer";"1 man";1966;3;"2 married";"SH";"de";"05 center"
54945;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"07 BDP - Conservative Democratic Party";"08";"10 very important";"9 no answer";"5 agree with 2nd statement";"8 don't know";"1 by mail";"08";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"06 6'001-7'000 CHF";"2 woman";1930;12;"3 widowed";"ZH";"de";"05 center"
67071;"1 very interested";"2 did not participate";"1 Energy Act mentioned";"";"96 does not affiliate with a party";"07";"";"1 completely agree with 1st statement";"3 rather agree with 1st statement";"";"";"00 0 voting";"32 elementary vocational training or apprenticeship";"01 self-employed";"02 2'001-3'000 CHF";"1 man";1976;4;"2 married";"VD";"fr";"05 center"
70194;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"03 FDP - FDP.The Liberals";"05";"05";"5 agree with 2nd statement";"5 agree with 2nd statement";"1 rather easy";"2 at the ballot box during the voting weekend";"05";"32 elementary vocational training or apprenticeship";"03 employee";"14 14'001-15'000 CHF";"2 woman";1990;12;"1 single, never married";"AG";"de";"05 center"
42312;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"09";"09";"4 rather agree with 2nd statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"33 maturity or teacher training school";"06 inactive person in training";"98 don't know";"2 woman";1998;5;"1 single, never married";"TI";"it";"05 center"
57291;"4 not at all interested";"2 did not participate";"0 Energy Act not mentioned";"";"05 GPS - Green Party of Switzerland";"09";"";"1 completely agree with 1st statement";"5 agree with 2nd statement";"";"";"00 0 voting";"33 maturity or teacher training school";"03 employee";"05 5'001-6'000 CHF";"2 woman";1956;6;"2 married";"TI";"it";"98 don't know"
48804;"2 rather interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"02 SP - Social Democratic Party";"08";"06";"4 rather agree with 2nd statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"51 vocational high school with federal or master certificate";"03 employee";"14 14'001-15'000 CHF";"1 man";1970;5;"2 married";"TG";"de";"03"
79442;"2 rather interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"96 does not affiliate with a party";"03";"08";"3 rather agree with 1st statement";"9 no answer";"1 rather easy";"1 by mail";"08";"40 post-secondary education, non tertiary";"03 employee";"10 10'001-11'000 CHF";"1 man";1971;2;"2 married";"AG";"de";"07"
99311;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"05 GPS - Green Party of Switzerland";"08";"08";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"01 self-employed";"10 10'001-11'000 CHF";"2 woman";1954;6;"2 married";"VD";"fr";"02"
67913;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"08 EVP - Evangelical Peopleâ€™s Party";"08";"08";"4 rather agree with 2nd statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"03 employee";"10 10'001-11'000 CHF";"1 man";1961;5;"2 married";"BE";"de";"04"
28212;"4 not at all interested";"1 participated";"0 Energy Act not mentioned";"2 no (rejected)";"01 SVP - Swiss People's Party";"06";"04";"6 completely agree with 2nd statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"05";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"04 4'001-5'000 CHF";"1 man";1950;10;"2 married";"BE";"de";"08"
46295;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"03 FDP - FDP.The Liberals";"07";"";"3 rather agree with 1st statement";"5 agree with 2nd statement";"";"";"08";"32 elementary vocational training or apprenticeship";"09 homemaker";"07 7'001-8'000 CHF";"2 woman";1945;12;"2 married";"TI";"it";"05 center"
50312;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"05 GPS - Green Party of Switzerland";"08";"10 very important";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"07 inactive person in retirement";"08 8'001-9'000 CHF";"2 woman";1949;3;"2 married";"VS";"fr";"03"
49863;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"02";"08";"2 agree with 1st statement";"4 rather agree with 2nd statement";"1 rather easy";"1 by mail";"09";"32 elementary vocational training or apprenticeship";"03 employee";"09 9'001-10'000 CHF";"2 woman";1983;4;"2 married";"SO";"de";"05 center"
11468;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"04 CVP - Christian Democratic Party";"10 complete trust";"";"2 agree with 1st statement";"4 rather agree with 2nd statement";"";"";"07";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"05 5'001-6'000 CHF";"1 man";1950;5;"2 married";"TI";"it";"05 center"
23804;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"08";"09";"5 agree with 2nd statement";"1 completely agree with 1st statement";"1 rather easy";"2 at the ballot box during the voting weekend";"07";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"07 inactive person in retirement";"99 no answer";"1 man";1949;10;"4 divorced";"VD";"fr";"04"
20415;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"03 FDP - FDP.The Liberals";"08";"08";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"15 more than 15'000 CHF";"2 woman";1975;1;"2 married";"AG";"de";"06"
43649;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"04 CVP - Christian Democratic Party";"10 complete trust";"98 don't know";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"09 homemaker";"03 3'001-4'000 CHF";"2 woman";1946;3;"2 married";"TI";"it";"10 extreme right"
41036;"3 rather not interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"05";"";"6 completely agree with 2nd statement";"1 completely agree with 1st statement";"";"";"02";"32 elementary vocational training or apprenticeship";"01 self-employed";"02 2'001-3'000 CHF";"1 man";1958;6;"2 married";"NW";"de";"08"
64027;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"07";"07";"2 agree with 1st statement";"5 agree with 2nd statement";"2 rather difficult";"1 by mail";"05";"32 elementary vocational training or apprenticeship";"03 employee";"12 12'001-13'000 CHF";"2 woman";1973;9;"4 divorced";"BE";"de";"05 center"
