"personid_4";"polint";"part";"titel_1";"vote_1";"party";"trust_1";"importance1";"value3";"value11";"difficul1";"vote2";"part2";"educ";"acti";"income";"sex";"birthyear";"birthmonth";"maritalstatus";"reportingcanton";"communelanguage";"lrsp"
69136;"3 rather not interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"08";"";"2 agree with 1st statement";"5 agree with 2nd statement";"";"";"07";"32 elementary vocational training or apprenticeship";"03 employee";"10 10'001-11'000 CHF";"2 woman";1981;1;"2 married";"ZH";"de";"05 center"
24918;"4 not at all interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"05";"";"3 rather agree with 1st statement";"8 don't know";"";"";"00 0 voting";"32 elementary vocational training or apprenticeship";"03 employee";"06 6'001-7'000 CHF";"2 woman";1957;7;"2 married";"VD";"fr";"98 don't know"
85229;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"90 clearly another party";"07";"";"4 rather agree with 2nd statement";"3 rather agree with 1st statement";"";"";"08";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"08 8'001-9'000 CHF";"2 woman";1983;9;"2 married";"ZH";"de";"06"
86354;"1 very interested";"2 did not participate";"0 Energy Act not mentioned";"";"05 GPS - Green Party of Switzerland";"09";"";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"";"";"10 10 votings";"33 maturity or teacher training school";"06 inactive person in training";"99 no answer";"2 woman";1991;7;"1 single, never married";"GE";"fr";"00 extreme left"
11661;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"05 GPS - Green Party of Switzerland";"08";"09";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"08";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"04 4'001-5'000 CHF";"2 woman";1946;8;"3 widowed";"BE";"fr";"05 center"
23392;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"05 GPS - Green Party of Switzerland";"09";"";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"";"";"09";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"08 8'001-9'000 CHF";"1 man";1964;1;"2 married";"VS";"fr";"02"
82328;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"07 BDP - Conservative Democratic Party";"08";"08";"4 rather agree with 2nd statement";"5 agree with 2nd statement";"2 rather difficult";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"99 no answer";"2 woman";1985;3;"2 married";"SO";"de";"06"
44681;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"04 CVP - Christian Democratic Party";"09";"09";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"2 at the ballot box during the voting weekend";"10 10 votings";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"03 3'001-4'000 CHF";"2 woman";1945;6;"4 divorced";"LU";"de";"05 center"
35002;"3 rather not interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"06";"";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"";"";"08";"32 elementary vocational training or apprenticeship";"05 unemployed";"05 5'001-6'000 CHF";"2 woman";1962;9;"4 divorced";"TI";"it";"05 center"
86476;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"08";"08";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"2 at the ballot box during the voting weekend";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"03 3'001-4'000 CHF";"2 woman";1976;6;"1 single, never married";"GE";"fr";"03"
49021;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"06";"00 not important at all";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"51 vocational high school with federal or master certificate";"07 inactive person in retirement";"08 8'001-9'000 CHF";"1 man";1940;12;"2 married";"VD";"fr";"00 extreme left"
88066;"2 rather interested";"2 did not participate";"0 Energy Act not mentioned";"";"97 several parties to the same extent";"07";"";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"";"";"10 10 votings";"32 elementary vocational training or apprenticeship";"03 employee";"99 no answer";"1 man";1977;8;"2 married";"ZG";"de";"05 center"
33406;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"09 Lega - Ticino League";"06";"";"4 rather agree with 2nd statement";"2 agree with 1st statement";"";"";"03";"60 doctorate, habilitation";"01 self-employed";"15 more than 15'000 CHF";"1 man";1959;2;"2 married";"TI";"it";"07"
52456;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"96 does not affiliate with a party";"08";"";"3 rather agree with 1st statement";"5 agree with 2nd statement";"";"";"02";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"09 homemaker";"12 12'001-13'000 CHF";"2 woman";1981;5;"2 married";"LU";"de";"05 center"
95912;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"09";"08";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"14 14'001-15'000 CHF";"2 woman";1985;8;"1 single, never married";"SO";"de";"02"
15213;"1 very interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"01 SVP - Swiss People's Party";"09";"08";"2 agree with 1st statement";"3 rather agree with 1st statement";"1 rather easy";"1 by mail";"08";"32 elementary vocational training or apprenticeship";"03 employee";"07 7'001-8'000 CHF";"1 man";1964;7;"2 married";"VD";"fr";"05 center"
42033;"2 rather interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"03 FDP - FDP.The Liberals";"03";"07";"4 rather agree with 2nd statement";"3 rather agree with 1st statement";"2 rather difficult";"1 by mail";"09";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"15 more than 15'000 CHF";"2 woman";1979;4;"2 married";"AG";"de";"07"
45552;"2 rather interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"01 SVP - Swiss People's Party";"07";"05";"5 agree with 2nd statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"08";"32 elementary vocational training or apprenticeship";"01 self-employed";"98 don't know";"1 man";1962;10;"2 married";"GL";"de";"06"
48483;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"96 does not affiliate with a party";"07";"08";"3 rather agree with 1st statement";"4 rather agree with 2nd statement";"2 rather difficult";"1 by mail";"09";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"04 4'001-5'000 CHF";"1 man";1949;7;"1 single, never married";"TI";"it";"06"
13101;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"07";"08";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"51 vocational high school with federal or master certificate";"09 homemaker";"03 3'001-4'000 CHF";"2 woman";1957;10;"2 married";"TI";"it";"03"
43621;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"09";"07";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"09 homemaker";"10 10'001-11'000 CHF";"2 woman";1963;9;"2 married";"BL";"de";"01"
48157;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"07 BDP - Conservative Democratic Party";"08";"";"2 agree with 1st statement";"6 completely agree with 2nd statement";"";"";"03";"33 maturity or teacher training school";"03 employee";"09 9'001-10'000 CHF";"2 woman";1970;5;"1 single, never married";"SG";"de";"04"
43466;"2 rather interested";"1 participated";"0 Energy Act not mentioned";"1 yes (accepted)";"04 CVP - Christian Democratic Party";"09";"07";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"07";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"01 self-employed";"02 2'001-3'000 CHF";"1 man";1967;8;"1 single, never married";"TI";"it";"08"
77444;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"06 GLP - Green Liberal Party";"09";"10 very important";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"09";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"07 inactive person in retirement";"12 12'001-13'000 CHF";"1 man";1950;4;"2 married";"BE";"de";"04"
55337;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"04 CVP - Christian Democratic Party";"08";"";"9 no answer";"6 completely agree with 2nd statement";"";"";"10 10 votings";"51 vocational high school with federal or master certificate";"07 inactive person in retirement";"05 5'001-6'000 CHF";"1 man";1938;2;"3 widowed";"TG";"de";"05 center"
99319;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"09";"09";"2 agree with 1st statement";"5 agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"33 maturity or teacher training school";"06 inactive person in training";"07 7'001-8'000 CHF";"2 woman";1995;1;"1 single, never married";"TI";"it";"03"
74431;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"01 SVP - Swiss People's Party";"05";"06";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"09";"21 compulsory school";"03 employee";"09 9'001-10'000 CHF";"2 woman";1974;4;"1 single, never married";"TI";"it";"08"
55447;"1 very interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"01 SVP - Swiss People's Party";"05";"10 very important";"2 agree with 1st statement";"2 agree with 1st statement";"1 rather easy";"2 at the ballot box during the voting weekend";"10 10 votings";"51 vocational high school with federal or master certificate";"07 inactive person in retirement";"06 6'001-7'000 CHF";"1 man";1941;9;"2 married";"AG";"de";"08"
37161;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"05 GPS - Green Party of Switzerland";"07";"08";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"10 10'001-11'000 CHF";"1 man";1985;7;"1 single, never married";"VS";"fr";"04"
19593;"2 rather interested";"1 participated";"0 Energy Act not mentioned";"1 yes (accepted)";"03 FDP - FDP.The Liberals";"08";"08";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"09";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"02 2'001-3'000 CHF";"2 woman";1943;12;"3 widowed";"VS";"fr";"05 center"
15035;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"03 FDP - FDP.The Liberals";"07";"08";"4 rather agree with 2nd statement";"4 rather agree with 2nd statement";"2 rather difficult";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"09 homemaker";"07 7'001-8'000 CHF";"2 woman";1939;1;"2 married";"ZH";"de";"05 center"
91338;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"01 SVP - Swiss People's Party";"05";"05";"8 don't know";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"08";"21 compulsory school";"07 inactive person in retirement";"03 3'001-4'000 CHF";"2 woman";1938;2;"3 widowed";"AG";"de";"05 center"
27828;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"04 CVP - Christian Democratic Party";"09";"07";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"33 maturity or teacher training school";"05 unemployed";"09 9'001-10'000 CHF";"2 woman";1963;2;"2 married";"GE";"fr";"05 center"
22941;"4 not at all interested";"2 did not participate";"1 Energy Act mentioned";"";"05 GPS - Green Party of Switzerland";"06";"";"8 don't know";"1 completely agree with 1st statement";"";"";"10 10 votings";"21 compulsory school";"03 employee";"03 3'001-4'000 CHF";"2 woman";1964;8;"1 single, never married";"GE";"fr";"10 extreme right"
83549;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"01 SVP - Swiss People's Party";"01";"";"3 rather agree with 1st statement";"2 agree with 1st statement";"";"";"09";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"09 9'001-10'000 CHF";"1 man";1959;6;"2 married";"SG";"de";"07"
31837;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"03 FDP - FDP.The Liberals";"08";"10 very important";"3 rather agree with 1st statement";"4 rather agree with 2nd statement";"1 rather easy";"2 at the ballot box during the voting weekend";"08";"32 elementary vocational training or apprenticeship";"01 self-employed";"08 8'001-9'000 CHF";"1 man";1957;3;"2 married";"FR";"fr";"05 center"
13492;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"09";"09";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"21 compulsory school";"07 inactive person in retirement";"05 5'001-6'000 CHF";"1 man";1947;2;"2 married";"VD";"fr";"04"
57464;"2 rather interested";"1 participated";"0 Energy Act not mentioned";"2 no (rejected)";"09 Lega - Ticino League";"08";"08";"4 rather agree with 2nd statement";"4 rather agree with 2nd statement";"2 rather difficult";"1 by mail";"08";"32 elementary vocational training or apprenticeship";"03 employee";"08 8'001-9'000 CHF";"1 man";1985;5;"2 married";"TI";"it";"07"
45355;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"96 does not affiliate with a party";"08";"";"4 rather agree with 2nd statement";"4 rather agree with 2nd statement";"";"";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"01 self-employed";"05 5'001-6'000 CHF";"1 man";1962;6;"2 married";"GE";"fr";"03"
29488;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"05";"05";"2 agree with 1st statement";"4 rather agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"21 compulsory school";"07 inactive person in retirement";"02 2'001-3'000 CHF";"2 woman";1935;2;"4 divorced";"TI";"it";"05 center"
17746;"3 rather not interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"10 complete trust";"";"4 rather agree with 2nd statement";"6 completely agree with 2nd statement";"";"";"07";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"99 no answer";"2 woman";1944;3;"2 married";"VD";"fr";"05 center"
99426;"1 very interested";"2 did not participate";"1 Energy Act mentioned";"";"05 GPS - Green Party of Switzerland";"09";"";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"";"";"09";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"09 homemaker";"04 4'001-5'000 CHF";"2 woman";1973;5;"1 single, never married";"TI";"it";"03"
17831;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"06";"08";"2 agree with 1st statement";"5 agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"04 4'001-5'000 CHF";"1 man";1950;4;"2 married";"JU";"fr";"05 center"
43166;"1 very interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"03 FDP - FDP.The Liberals";"05";"05";"4 rather agree with 2nd statement";"4 rather agree with 2nd statement";"2 rather difficult";"1 by mail";"10 10 votings";"51 vocational high school with federal or master certificate";"01 self-employed";"15 more than 15'000 CHF";"1 man";1966;12;"1 single, never married";"LU";"de";"07"
34977;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"08";"07";"3 rather agree with 1st statement";"9 no answer";"1 rather easy";"1 by mail";"02";"33 maturity or teacher training school";"03 employee";"98 don't know";"1 man";1980;9;"1 single, never married";"SG";"de";"03"
38836;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"09";"10 very important";"2 agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"09";"21 compulsory school";"06 inactive person in training";"08 8'001-9'000 CHF";"2 woman";1998;5;"1 single, never married";"FR";"de";"98 don't know"
30331;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"03 FDP - FDP.The Liberals";"08";"";"2 agree with 1st statement";"6 completely agree with 2nd statement";"";"";"08";"33 maturity or teacher training school";"01 self-employed";"15 more than 15'000 CHF";"1 man";1966;1;"2 married";"TI";"it";"07"
13206;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"04 CVP - Christian Democratic Party";"08";"09";"4 rather agree with 2nd statement";"5 agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"07 inactive person in retirement";"15 more than 15'000 CHF";"1 man";1942;2;"2 married";"TI";"it";"04"
29523;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"08";"08";"2 agree with 1st statement";"4 rather agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"33 maturity or teacher training school";"06 inactive person in training";"98 don't know";"1 man";1998;1;"1 single, never married";"TI";"it";"05 center"
38331;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"08";"07";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"2 at the ballot box during the voting weekend";"08";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"15 more than 15'000 CHF";"2 woman";1984;7;"1 single, never married";"FR";"fr";"04"
96528;"2 rather interested";"1 participated";"0 Energy Act not mentioned";"1 yes (accepted)";"03 FDP - FDP.The Liberals";"08";"09";"4 rather agree with 2nd statement";"6 completely agree with 2nd statement";"2 rather difficult";"3 voted by internet/online";"10 10 votings";"22 transitional educational programme";"07 inactive person in retirement";"06 6'001-7'000 CHF";"1 man";1951;8;"2 married";"GE";"fr";"05 center"
44664;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"04 CVP - Christian Democratic Party";"08";"08";"2 agree with 1st statement";"5 agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"51 vocational high school with federal or master certificate";"07 inactive person in retirement";"04 4'001-5'000 CHF";"1 man";1939;3;"2 married";"TI";"it";"06"
67465;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"98 don't know";"05";"";"4 rather agree with 2nd statement";"4 rather agree with 2nd statement";"";"";"08";"10 incomplete compulsory school/primary school";"03 employee";"15 more than 15'000 CHF";"1 man";1976;4;"2 married";"TI";"it";"05 center"
61176;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"05 GPS - Green Party of Switzerland";"09";"10 very important";"2 agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"08";"32 elementary vocational training or apprenticeship";"05 unemployed";"02 2'001-3'000 CHF";"1 man";1972;11;"1 single, never married";"GR";"it";"05 center"
39973;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"03 FDP - FDP.The Liberals";"07";"";"4 rather agree with 2nd statement";"6 completely agree with 2nd statement";"";"";"03";"51 vocational high school with federal or master certificate";"01 self-employed";"06 6'001-7'000 CHF";"1 man";1973;2;"1 single, never married";"SG";"de";"08"
20828;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"09";"10 very important";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"09";"21 compulsory school";"06 inactive person in training";"10 10'001-11'000 CHF";"2 woman";1997;11;"1 single, never married";"TI";"it";"03"
31653;"2 rather interested";"1 participated";"0 Energy Act not mentioned";"9 no answer";"01 SVP - Swiss People's Party";"08";"08";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"3 voted by internet/online";"98 don't know";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"03 3'001-4'000 CHF";"1 man";1936;10;"2 married";"GE";"fr";"07"
87097;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"90 clearly another party";"05";"09";"4 rather agree with 2nd statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"10 10 votings";"21 compulsory school";"07 inactive person in retirement";"03 3'001-4'000 CHF";"2 woman";1951;7;"4 divorced";"NE";"fr";"05 center"
37751;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"04 CVP - Christian Democratic Party";"08";"09";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"51 vocational high school with federal or master certificate";"07 inactive person in retirement";"09 9'001-10'000 CHF";"2 woman";1952;2;"2 married";"SZ";"de";"05 center"
87747;"2 rather interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"09";"";"2 agree with 1st statement";"5 agree with 2nd statement";"";"";"98 don't know";"40 post-secondary education, non tertiary";"03 employee";"99 no answer";"2 woman";1979;1;"2 married";"SG";"de";"98 don't know"
98303;"2 rather interested";"1 participated";"0 Energy Act not mentioned";"1 yes (accepted)";"01 SVP - Swiss People's Party";"08";"08";"5 agree with 2nd statement";"6 completely agree with 2nd statement";"1 rather easy";"2 at the ballot box during the voting weekend";"10 10 votings";"21 compulsory school";"07 inactive person in retirement";"99 no answer";"2 woman";1943;3;"2 married";"SG";"de";"05 center"
61633;"3 rather not interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"06";"";"5 agree with 2nd statement";"6 completely agree with 2nd statement";"";"";"00 0 voting";"21 compulsory school";"09 homemaker";"99 no answer";"2 woman";1942;9;"2 married";"TI";"it";"98 don't know"
45206;"1 very interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"01 SVP - Swiss People's Party";"02";"10 very important";"9 no answer";"3 rather agree with 1st statement";"1 rather easy";"1 by mail";"10 10 votings";"31 general training without maturity";"03 employee";"04 4'001-5'000 CHF";"1 man";1949;3;"3 widowed";"AG";"de";"08"
83276;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"05 GPS - Green Party of Switzerland";"08";"10 very important";"4 rather agree with 2nd statement";"5 agree with 2nd statement";"2 rather difficult";"3 voted by internet/online";"10 10 votings";"33 maturity or teacher training school";"03 employee";"07 7'001-8'000 CHF";"2 woman";1995;10;"1 single, never married";"GE";"fr";"06"
81761;"2 rather interested";"2 did not participate";"0 Energy Act not mentioned";"";"04 CVP - Christian Democratic Party";"06";"";"5 agree with 2nd statement";"6 completely agree with 2nd statement";"";"";"06";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"05 5'001-6'000 CHF";"1 man";1961;5;"2 married";"TI";"it";"07"
86568;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"07";"08";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"08 8'001-9'000 CHF";"1 man";1973;9;"2 married";"LU";"de";"02"
