"personid_4";"polint";"part";"titel_1";"vote_1";"party";"trust_1";"importance1";"value3";"value11";"difficul1";"vote2";"part2";"educ";"acti";"income";"sex";"birthyear";"birthmonth";"maritalstatus";"reportingcanton";"communelanguage";"lrsp"
39365;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"05 GPS - Green Party of Switzerland";"07";"08";"2 agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"2 at the ballot box during the voting weekend";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"08 8'001-9'000 CHF";"1 man";1979;9;"2 married";"BE";"de";"02"
21038;"4 not at all interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"00 no trust at all";"";"2 agree with 1st statement";"6 completely agree with 2nd statement";"";"";"00 0 voting";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"02 2'001-3'000 CHF";"1 man";1942;12;"2 married";"TI";"it";"98 don't know"
29691;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"09";"09";"2 agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"08";"33 maturity or teacher training school";"03 employee";"05 5'001-6'000 CHF";"2 woman";1966;1;"4 divorced";"VD";"fr";"04"
43373;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"09";"09";"8 don't know";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"51 vocational high school with federal or master certificate";"03 employee";"04 4'001-5'000 CHF";"2 woman";1984;6;"1 single, never married";"ZG";"de";"04"
12846;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"07 BDP - Conservative Democratic Party";"08";"08";"4 rather agree with 2nd statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"51 vocational high school with federal or master certificate";"01 self-employed";"07 7'001-8'000 CHF";"1 man";1982;8;"2 married";"BE";"de";"06"
97967;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"97 several parties to the same extent";"07";"10 very important";"1 completely agree with 1st statement";"1 completely agree with 1st statement";"1 rather easy";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"03 employee";"11 11'001-12'000 CHF";"1 man";1952;9;"4 divorced";"BE";"fr";"00 extreme left"
62365;"3 rather not interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"05";"";"1 completely agree with 1st statement";"5 agree with 2nd statement";"";"";"01";"32 elementary vocational training or apprenticeship";"03 employee";"03 3'001-4'000 CHF";"1 man";1983;5;"1 single, never married";"BE";"de";"05 center"
71251;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"03";"05";"8 don't know";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"60 doctorate, habilitation";"07 inactive person in retirement";"02 2'001-3'000 CHF";"1 man";1949;10;"2 married";"VS";"de";"02"
49014;"4 not at all interested";"2 did not participate";"0 Energy Act not mentioned";"";"99 no answer";"00 no trust at all";"";"8 don't know";"6 completely agree with 2nd statement";"";"";"00 0 voting";"21 compulsory school";"07 inactive person in retirement";"02 2'001-3'000 CHF";"2 woman";1942;4;"3 widowed";"BE";"de";"05 center"
63669;"1 very interested";"2 did not participate";"1 Energy Act mentioned";"";"95 a person, not a party";"09";"";"3 rather agree with 1st statement";"1 completely agree with 1st statement";"";"";"00 0 voting";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"01 less than 2'000 CHF";"1 man";1937;9;"4 divorced";"TG";"de";"05 center"
89586;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"06 GLP - Green Liberal Party";"07";"";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"";"";"07";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"11 11'001-12'000 CHF";"2 woman";1973;3;"2 married";"BE";"de";"04"
24509;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"09 Lega - Ticino League";"04";"08";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"10 10 votings";"51 vocational high school with federal or master certificate";"07 inactive person in retirement";"03 3'001-4'000 CHF";"1 man";1935;11;"3 widowed";"TI";"it";"05 center"
71649;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"04 CVP - Christian Democratic Party";"07";"09";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"99 no answer";"1 man";1940;10;"2 married";"AG";"de";"05 center"
30235;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"01 SVP - Swiss People's Party";"08";"09";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"09";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"07 inactive person in retirement";"02 2'001-3'000 CHF";"2 woman";1938;1;"4 divorced";"VD";"fr";"08"
18489;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"97 several parties to the same extent";"05";"08";"5 agree with 2nd statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"05 5'001-6'000 CHF";"2 woman";1946;5;"1 single, never married";"TI";"it";"03"
55425;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"09";"09";"2 agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"07 inactive person in retirement";"98 don't know";"2 woman";1947;2;"2 married";"TI";"it";"04"
81328;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"03 FDP - FDP.The Liberals";"08";"09";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"08";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"07 inactive person in retirement";"10 10'001-11'000 CHF";"1 man";1950;1;"2 married";"NE";"fr";"05 center"
54603;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"07";"07";"2 agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"06";"32 elementary vocational training or apprenticeship";"03 employee";"08 8'001-9'000 CHF";"1 man";1975;7;"2 married";"FR";"fr";"05 center"
57108;"1 very interested";"1 participated";"0 Energy Act not mentioned";"2 no (rejected)";"03 FDP - FDP.The Liberals";"05";"07";"1 completely agree with 1st statement";"5 agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"01 self-employed";"10 10'001-11'000 CHF";"1 man";1953;9;"2 married";"SO";"de";"05 center"
49607;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"05 GPS - Green Party of Switzerland";"09";"";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"";"";"08";"32 elementary vocational training or apprenticeship";"09 homemaker";"06 6'001-7'000 CHF";"2 woman";1963;12;"2 married";"TI";"it";"06"
91006;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"96 does not affiliate with a party";"06";"";"5 agree with 2nd statement";"6 completely agree with 2nd statement";"";"";"10 10 votings";"51 vocational high school with federal or master certificate";"01 self-employed";"14 14'001-15'000 CHF";"2 woman";1971;12;"2 married";"AG";"de";"06"
58506;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"03 FDP - FDP.The Liberals";"06";"07";"4 rather agree with 2nd statement";"5 agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"05 5'001-6'000 CHF";"1 man";1944;12;"3 widowed";"TI";"it";"07"
53189;"2 rather interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"01 SVP - Swiss People's Party";"03";"05";"1 completely agree with 1st statement";"2 agree with 1st statement";"2 rather difficult";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"05 unemployed";"01 less than 2'000 CHF";"2 woman";1960;5;"1 single, never married";"AG";"de";"07"
55398;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"03 FDP - FDP.The Liberals";"10 complete trust";"10 very important";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"07 inactive person in retirement";"05 5'001-6'000 CHF";"2 woman";1928;2;"3 widowed";"TG";"de";"05 center"
14833;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"03 FDP - FDP.The Liberals";"07";"08";"8 don't know";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"06 6'001-7'000 CHF";"2 woman";1977;4;"4 divorced";"TI";"it";"05 center"
14691;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"08";"10 very important";"2 agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"33 maturity or teacher training school";"09 homemaker";"07 7'001-8'000 CHF";"2 woman";1944;11;"2 married";"TI";"it";"98 don't know"
70301;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"06 GLP - Green Liberal Party";"08";"10 very important";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"2 at the ballot box during the voting weekend";"09";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"01 self-employed";"99 no answer";"2 woman";1964;3;"2 married";"ZH";"de";"05 center"
38652;"3 rather not interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"07";"";"3 rather agree with 1st statement";"8 don't know";"";"";"10 10 votings";"32 elementary vocational training or apprenticeship";"03 employee";"99 no answer";"1 man";1986;3;"1 single, never married";"AG";"de";"05 center"
46706;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"09";"09";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"11 11'001-12'000 CHF";"2 woman";1967;1;"1 single, never married";"ZH";"de";"03"
54952;"1 very interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"90 clearly another party";"08";"06";"3 rather agree with 1st statement";"3 rather agree with 1st statement";"2 rather difficult";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"04 4'001-5'000 CHF";"2 woman";1941;8;"2 married";"BE";"de";"06"
14072;"2 rather interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"01 SVP - Swiss People's Party";"03";"08";"6 completely agree with 2nd statement";"1 completely agree with 1st statement";"1 rather easy";"1 by mail";"10 10 votings";"51 vocational high school with federal or master certificate";"07 inactive person in retirement";"13 13'001-14'000 CHF";"1 man";1949;6;"2 married";"TG";"de";"05 center"
91799;"4 not at all interested";"2 did not participate";"0 Energy Act not mentioned";"";"98 don't know";"04";"";"2 agree with 1st statement";"6 completely agree with 2nd statement";"";"";"04";"21 compulsory school";"06 inactive person in training";"05 5'001-6'000 CHF";"2 woman";1994;4;"1 single, never married";"VD";"fr";"05 center"
17126;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"07 BDP - Conservative Democratic Party";"05";"";"3 rather agree with 1st statement";"3 rather agree with 1st statement";"";"";"08";"32 elementary vocational training or apprenticeship";"01 self-employed";"02 2'001-3'000 CHF";"2 woman";1962;1;"2 married";"TG";"de";"05 center"
36246;"3 rather not interested";"1 participated";"0 Energy Act not mentioned";"2 no (rejected)";"96 does not affiliate with a party";"07";"06";"2 agree with 1st statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"08";"21 compulsory school";"07 inactive person in retirement";"04 4'001-5'000 CHF";"1 man";1948;4;"2 married";"SG";"de";"04"
53744;"2 rather interested";"1 participated";"0 Energy Act not mentioned";"1 yes (accepted)";"04 CVP - Christian Democratic Party";"10 complete trust";"10 very important";"6 completely agree with 2nd statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"03 3'001-4'000 CHF";"1 man";1936;7;"2 married";"TI";"it";"10 extreme right"
97594;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"05 GPS - Green Party of Switzerland";"08";"10 very important";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"01 self-employed";"09 9'001-10'000 CHF";"2 woman";1970;2;"2 married";"BE";"de";"03"
27426;"4 not at all interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"07";"";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"";"";"05";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"03 3'001-4'000 CHF";"2 woman";1950;8;"4 divorced";"LU";"de";"05 center"
77499;"4 not at all interested";"2 did not participate";"0 Energy Act not mentioned";"";"98 don't know";"09";"";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"";"";"06";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"02 2'001-3'000 CHF";"2 woman";1929;10;"3 widowed";"VD";"fr";"05 center"
74096;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"01 SVP - Swiss People's Party";"09";"";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"";"";"09";"32 elementary vocational training or apprenticeship";"09 homemaker";"07 7'001-8'000 CHF";"1 man";1972;8;"2 married";"SG";"de";"06"
75238;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"04 CVP - Christian Democratic Party";"07";"09";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"07 inactive person in retirement";"09 9'001-10'000 CHF";"1 man";1947;5;"2 married";"TI";"it";"07"
52941;"1 very interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"03 FDP - FDP.The Liberals";"10 complete trust";"06";"1 completely agree with 1st statement";"4 rather agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"21 compulsory school";"07 inactive person in retirement";"04 4'001-5'000 CHF";"1 man";1927;6;"2 married";"SO";"de";"05 center"
42709;"1 very interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"01 SVP - Swiss People's Party";"07";"08";"5 agree with 2nd statement";"2 agree with 1st statement";"1 rather easy";"1 by mail";"10 10 votings";"51 vocational high school with federal or master certificate";"07 inactive person in retirement";"03 3'001-4'000 CHF";"1 man";1948;2;"2 married";"TG";"de";"09"
49472;"2 rather interested";"1 participated";"0 Energy Act not mentioned";"1 yes (accepted)";"03 FDP - FDP.The Liberals";"07";"09";"4 rather agree with 2nd statement";"3 rather agree with 1st statement";"2 rather difficult";"1 by mail";"10 10 votings";"33 maturity or teacher training school";"09 homemaker";"08 8'001-9'000 CHF";"2 woman";1947;11;"2 married";"TI";"it";"05 center"
99947;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"06 GLP - Green Liberal Party";"08";"05";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"2 at the ballot box during the voting weekend";"08";"21 compulsory school";"04 apprentice";"98 don't know";"2 woman";1997;12;"1 single, never married";"BL";"de";"02"
59282;"4 not at all interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"00 no trust at all";"08";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"08";"21 compulsory school";"03 employee";"06 6'001-7'000 CHF";"2 woman";1965;4;"1 single, never married";"VD";"fr";"03"
43392;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"05 GPS - Green Party of Switzerland";"07";"08";"2 agree with 1st statement";"6 completely agree with 2nd statement";"2 rather difficult";"2 at the ballot box during the voting weekend";"05";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"09 homemaker";"12 12'001-13'000 CHF";"2 woman";1971;2;"2 married";"VD";"fr";"04"
33545;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"06 GLP - Green Liberal Party";"07";"";"1 completely agree with 1st statement";"5 agree with 2nd statement";"";"";"07";"31 general training without maturity";"03 employee";"15 more than 15'000 CHF";"2 woman";1955;1;"3 widowed";"SH";"de";"03"
96962;"3 rather not interested";"2 did not participate";"0 Energy Act not mentioned";"";"04 CVP - Christian Democratic Party";"08";"";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"";"";"05";"33 maturity or teacher training school";"03 employee";"05 5'001-6'000 CHF";"2 woman";1963;12;"1 single, never married";"TI";"it";"05 center"
33111;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"09";"08";"2 agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"33 maturity or teacher training school";"06 inactive person in training";"98 don't know";"2 woman";1994;12;"1 single, never married";"TI";"it";"98 don't know"
10738;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"05 GPS - Green Party of Switzerland";"09";"";"2 agree with 1st statement";"4 rather agree with 2nd statement";"";"";"98 don't know";"21 compulsory school";"06 inactive person in training";"09 9'001-10'000 CHF";"1 man";1999;5;"1 single, never married";"TG";"de";"04"
49274;"2 rather interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"01 SVP - Swiss People's Party";"09";"09";"9 no answer";"4 rather agree with 2nd statement";"1 rather easy";"2 at the ballot box during the voting weekend";"10 10 votings";"40 post-secondary education, non tertiary";"07 inactive person in retirement";"07 7'001-8'000 CHF";"1 man";1949;5;"2 married";"SH";"de";"05 center"
39117;"2 rather interested";"1 participated";"0 Energy Act not mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"08";"06";"2 agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"09";"32 elementary vocational training or apprenticeship";"03 employee";"06 6'001-7'000 CHF";"1 man";1959;12;"1 single, never married";"BE";"de";"04"
54201;"3 rather not interested";"1 participated";"0 Energy Act not mentioned";"2 no (rejected)";"90 clearly another party";"04";"07";"1 completely agree with 1st statement";"2 agree with 1st statement";"1 rather easy";"1 by mail";"07";"40 post-secondary education, non tertiary";"07 inactive person in retirement";"03 3'001-4'000 CHF";"2 woman";1948;5;"1 single, never married";"SH";"de";"99 no answer"
13319;"3 rather not interested";"2 did not participate";"0 Energy Act not mentioned";"";"03 FDP - FDP.The Liberals";"07";"";"5 agree with 2nd statement";"6 completely agree with 2nd statement";"";"";"07";"32 elementary vocational training or apprenticeship";"03 employee";"13 13'001-14'000 CHF";"2 woman";1979;4;"1 single, never married";"VD";"fr";"07"
24422;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"04 CVP - Christian Democratic Party";"07";"07";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"2 at the ballot box during the voting weekend";"09";"51 vocational high school with federal or master certificate";"03 employee";"06 6'001-7'000 CHF";"1 man";1960;2;"2 married";"TG";"de";"05 center"
91418;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"03 FDP - FDP.The Liberals";"08";"";"1 completely agree with 1st statement";"1 completely agree with 1st statement";"";"";"07";"32 elementary vocational training or apprenticeship";"09 homemaker";"12 12'001-13'000 CHF";"2 woman";1974;11;"2 married";"VD";"fr";"07"
41743;"1 very interested";"2 did not participate";"1 Energy Act mentioned";"";"02 SP - Social Democratic Party";"99 no answer";"";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"";"";"08";"33 maturity or teacher training school";"03 employee";"14 14'001-15'000 CHF";"2 woman";1961;3;"2 married";"BS";"de";"00 extreme left"
68941;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"06 GLP - Green Liberal Party";"09";"10 very important";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"51 vocational high school with federal or master certificate";"07 inactive person in retirement";"04 4'001-5'000 CHF";"1 man";1937;7;"4 divorced";"BE";"de";"08"
46204;"3 rather not interested";"2 did not participate";"1 Energy Act mentioned";"";"96 does not affiliate with a party";"06";"";"4 rather agree with 2nd statement";"4 rather agree with 2nd statement";"";"";"00 0 voting";"32 elementary vocational training or apprenticeship";"03 employee";"15 more than 15'000 CHF";"2 woman";1968;1;"2 married";"SO";"de";"05 center"
45497;"2 rather interested";"2 did not participate";"1 Energy Act mentioned";"";"02 SP - Social Democratic Party";"07";"";"3 rather agree with 1st statement";"4 rather agree with 2nd statement";"";"";"04";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"14 14'001-15'000 CHF";"2 woman";1973;5;"1 single, never married";"VD";"fr";"04"
12622;"1 very interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"02 SP - Social Democratic Party";"08";"10 very important";"4 rather agree with 2nd statement";"6 completely agree with 2nd statement";"1 rather easy";"1 by mail";"10 10 votings";"33 maturity or teacher training school";"03 employee";"04 4'001-5'000 CHF";"1 man";1963;12;"2 married";"VD";"fr";"00 extreme left"
77882;"2 rather interested";"2 did not participate";"0 Energy Act not mentioned";"";"96 does not affiliate with a party";"10 complete trust";"";"2 agree with 1st statement";"4 rather agree with 2nd statement";"";"";"05";"31 general training without maturity";"10 other inactive person";"02 2'001-3'000 CHF";"1 man";1969;10;"2 married";"BE";"de";"98 don't know"
59751;"2 rather interested";"1 participated";"1 Energy Act mentioned";"2 no (rejected)";"96 does not affiliate with a party";"07";"05";"5 agree with 2nd statement";"3 rather agree with 1st statement";"1 rather easy";"1 by mail";"10 10 votings";"32 elementary vocational training or apprenticeship";"03 employee";"04 4'001-5'000 CHF";"1 man";1956;5;"1 single, never married";"AG";"de";"98 don't know"
31528;"3 rather not interested";"2 did not participate";"0 Energy Act not mentioned";"";"05 GPS - Green Party of Switzerland";"07";"";"3 rather agree with 1st statement";"6 completely agree with 2nd statement";"";"";"05";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"10 10'001-11'000 CHF";"2 woman";1974;5;"2 married";"GE";"fr";"02"
24764;"3 rather not interested";"1 participated";"1 Energy Act mentioned";"8 don't know";"09 Lega - Ticino League";"05";"05";"4 rather agree with 2nd statement";"3 rather agree with 1st statement";"2 rather difficult";"1 by mail";"08";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"12 12'001-13'000 CHF";"2 woman";1981;4;"1 single, never married";"TI";"it";"05 center"
37414;"4 not at all interested";"2 did not participate";"0 Energy Act not mentioned";"";"98 don't know";"00 no trust at all";"";"1 completely agree with 1st statement";"6 completely agree with 2nd statement";"";"";"00 0 voting";"10 incomplete compulsory school/primary school";"09 homemaker";"02 2'001-3'000 CHF";"1 man";1998;1;"1 single, never married";"VD";"fr";"05 center"
59123;"2 rather interested";"1 participated";"1 Energy Act mentioned";"1 yes (accepted)";"96 does not affiliate with a party";"08";"09";"4 rather agree with 2nd statement";"6 completely agree with 2nd statement";"2 rather difficult";"1 by mail";"08";"52 university of applied science, university, ETH (also university of teacher education, licentiate, Bachelor, Master, post-grade degree)";"03 employee";"07 7'001-8'000 CHF";"1 man";1972;7;"2 married";"TI";"it";"04"
